DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER
12/05/2016,EASTERN REGION,0,0,0,3
13/05/2016,EASTERN REGION,0,0,0,2
14/05/2016,EASTERN REGION,0,1,0,4
15/05/2016,EASTERN REGION,0,3,0,2
16/05/2016,EASTERN REGION,0,1,0,2
17/05/2016,EASTERN REGION,0,1,0,1
18/05/2016,EASTERN REGION,0,2,0,2
19/05/2016,EASTERN REGION,0,1,0,2
20/05/2016,EASTERN REGION,0,0,0,1
21/05/2016,EASTERN REGION,0,5,0,3
22/05/2016,EASTERN REGION,0,0,0,1
23/05/2016,EASTERN REGION,0,2,0,4
24/05/2016,EASTERN REGION,0,0,0,0
25/05/2016,EASTERN REGION,0,0,0,2
26/05/2016,EASTERN REGION,0,2,0,4
27/05/2016,EASTERN REGION,0,1,0,0
28/05/2016,EASTERN REGION,0,1,0,1
29/05/2016,EASTERN REGION,0,0,0,0
30/05/2016,EASTERN REGION,0,1,0,0
31/05/2016,EASTERN REGION,0,1,0,2
1/06/2016,EASTERN REGION,0,0,0,1
2/06/2016,EASTERN REGION,0,1,0,0
3/06/2016,EASTERN REGION,0,1,0,3
4/06/2016,EASTERN REGION,0,0,0,4
5/06/2016,EASTERN REGION,0,0,0,3
6/06/2016,EASTERN REGION,1,1,0,1
7/06/2016,EASTERN REGION,0,0,0,1
8/06/2016,EASTERN REGION,0,1,0,0
9/06/2016,EASTERN REGION,0,0,0,3
10/06/2016,EASTERN REGION,1,0,0,3
11/06/2016,EASTERN REGION,1,1,0,1
12/06/2016,EASTERN REGION,0,0,0,5
13/06/2016,EASTERN REGION,0,2,0,1
14/06/2016,EASTERN REGION,0,1,0,0
15/06/2016,EASTERN REGION,0,1,0,2
16/06/2016,EASTERN REGION,0,1,0,3
17/06/2016,EASTERN REGION,0,1,0,4
18/06/2016,EASTERN REGION,0,2,0,2
19/06/2016,EASTERN REGION,0,1,0,0
20/06/2016,EASTERN REGION,0,0,0,3
21/06/2016,EASTERN REGION,0,0,0,1
22/06/2016,EASTERN REGION,0,0,0,1
23/06/2016,EASTERN REGION,0,0,0,1
24/06/2016,EASTERN REGION,0,1,0,3
25/06/2016,EASTERN REGION,0,2,0,4
26/06/2016,EASTERN REGION,0,3,0,2
27/06/2016,EASTERN REGION,0,1,0,1
28/06/2016,EASTERN REGION,0,0,0,0
29/06/2016,EASTERN REGION,0,1,0,3
30/06/2016,EASTERN REGION,0,0,0,1
1/07/2016,EASTERN REGION,0,1,0,2
2/07/2016,EASTERN REGION,0,1,0,1
3/07/2016,EASTERN REGION,0,2,0,2
4/07/2016,EASTERN REGION,0,0,0,0
