DATE,Total.Accidents,Minimum.temperature.Degree.C,Maximum.temperature.Degree.C,Temperature.range.Degree.C,Rainfall.amount.millimetres,EHF
2/12/2018,2,11.3,18.5,7.2,21.2,0.00
3/12/2018,1,9.8,22.7,12.9,0.2,0.00
4/12/2018,2,12,18.9,6.9,0.8,0.00
5/12/2018,0,5.6,24.9,19.3,0,0.00
6/12/2018,1,9.4,34.2,24.8,0,8.32
7/12/2018,4,15.4,37.4,22,0,0.00
8/12/2018,2,21.6,28.9,7.3,0,0.00
9/12/2018,3,14.8,21.4,6.6,2.8,0.00
10/12/2018,2,15.7,24.3,8.6,0,0.00
11/12/2018,3,6.4,25.8,19.4,0.2,0.00
12/12/2018,2,17.1,33.5,16.4,0,0.00
13/12/2018,3,17.5,22.8,5.3,0.8,0.00
14/12/2018,6,15.4,25.7,10.3,8,0.00
15/12/2018,1,18.2,28.7,10.5,0.2,0.00
16/12/2018,1,17.4,25.3,7.9,0.2,0.00
17/12/2018,1,12,30,18,3.8,0.00
18/12/2018,3,14.9,25.9,11,0,0.00
19/12/2018,0,16.5,24.3,7.8,0,0.00
20/12/2018,2,15.4,26.1,10.7,0,0.00
21/12/2018,3,14.4,22.3,7.9,3.2,0.00
22/12/2018,2,10.5,22,11.5,1.6,0.00
23/12/2018,4,5.8,27.2,21.4,0,0.00
24/12/2018,1,7.9,33.6,25.7,0,0.00
25/12/2018,2,12.9,31.8,18.9,0,0.22
26/12/2018,0,12.2,31.5,19.3,0,17.87
27/12/2018,2,12.3,40.6,28.3,0,25.47
28/12/2018,1,20.5,39.8,19.3,0,9.71
29/12/2018,1,21.6,27.2,5.6,0,0.00
30/12/2018,4,17.2,25.9,8.7,1.8,0.00
31/12/2018,3,17.1,31.4,14.3,1.6,0.00
1/01/2019,2,12.5,31.1,18.6,0,0.00
2/01/2019,2,13.3,27.7,14.4,0,6.47
3/01/2019,3,17.4,30.2,12.8,0,2.93
4/01/2019,1,18.5,43.8,25.3,0,0.00
5/01/2019,3,15.7,21.3,5.6,0,0.00
6/01/2019,0,9.1,23,13.9,1.2,0.00
7/01/2019,1,14.4,28.2,13.8,0,0.00
8/01/2019,3,15.7,27.8,12.1,0,0.00
9/01/2019,1,13.5,22.5,9,1.6,0.00
10/01/2019,1,6,25.8,19.8,0,0.00
11/01/2019,1,14.3,34.3,20,0,0.00
12/01/2019,2,14.6,31.7,17.1,0,0.00
13/01/2019,4,8.5,27.2,18.7,0,5.80
14/01/2019,1,17,39.7,22.7,0,28.09
15/01/2019,1,16.3,41.9,25.6,0,19.32
16/01/2019,1,17.7,35.1,17.4,0,12.66
17/01/2019,1,18.6,33.4,14.8,0,2.80
18/01/2019,1,20.2,33.5,13.3,0.4,0.00
19/01/2019,1,15.6,26.7,11.1,0.4,0.00
20/01/2019,2,11.4,29.1,17.7,0,0.57
21/01/2019,0,14.2,35.6,21.4,0,3.30
22/01/2019,0,16.1,37.1,21,0,3.01
23/01/2019,2,16,31.1,15.1,0,11.75
24/01/2019,1,19.2,31,11.8,0,15.34
25/01/2019,4,18.2,45.4,27.2,0,5.76
26/01/2019,5,18.3,32,13.7,0.2,0.00
27/01/2019,1,16.2,25.9,9.7,0.8,0.00
28/01/2019,4,12.8,32.5,19.7,0,2.06
29/01/2019,2,15.4,36.7,21.3,0,0.52
30/01/2019,2,15.7,35.9,20.2,0,0.00
31/01/2019,4,16.4,24,7.6,13.2,0.00
1/02/2019,3,6,25.3,19.3,0,0.00
2/02/2019,2,13.7,35,21.3,0,4.20
3/02/2019,2,18.9,39.6,20.7,0,0.20
4/02/2019,1,17.5,28,10.5,1,0.00
5/02/2019,0,16.7,21.5,4.8,0,0.00
6/02/2019,3,17.9,28,10.1,4.2,0.00
7/02/2019,3,19.4,32.4,13,3.4,0.00
8/02/2019,2,18.7,24.4,5.7,0,0.00
9/02/2019,2,14.2,20.6,6.4,0,0.00
10/02/2019,3,11.8,24,12.2,4.8,0.00
11/02/2019,0,9.3,30.7,21.4,0,0.00
12/02/2019,5,12.1,25.4,13.3,0,0.00
13/02/2019,3,7.9,19.5,11.6,6,0.00
14/02/2019,4,9.7,23.9,14.2,2,0.00
15/02/2019,3,11.2,28.5,17.3,0,0.00
16/02/2019,3,15.7,32.4,16.7,0,0.00
17/02/2019,0,11,32,21,0,0.00
18/02/2019,2,16.2,28.7,12.5,0,0.00
19/02/2019,2,11,21.7,10.7,0,0.00
20/02/2019,2,7.1,23.4,16.3,0,0.00
21/02/2019,2,12.4,23,10.6,0,0.00
22/02/2019,4,6.5,26.5,20,0,0.00
23/02/2019,3,10.7,27.1,16.4,0,0.00
24/02/2019,4,13.4,28.3,14.9,0,0.00
25/02/2019,2,10.1,35.1,25,0,0.00
26/02/2019,0,11.8,30.5,18.7,0,0.00
27/02/2019,3,7.1,28.2,21.1,0,0.00
28/02/2019,1,14,37.2,23.2,0,13.43
1/03/2019,5,15.5,38.2,22.7,0,13.48
2/03/2019,2,13.6,37.1,23.5,0,8.86
3/03/2019,1,15,36.3,21.3,0,4.25
4/03/2019,0,17.2,33,15.8,0,0.00
5/03/2019,0,15.5,30.9,15.4,0,0.00
6/03/2019,1,12.5,17.8,5.3,4.4,0.00
7/03/2019,2,8.5,22.4,13.9,4.4,0.00
8/03/2019,4,7,23.3,16.3,0,0.00
9/03/2019,3,10.4,28.4,18,0,0.00
10/03/2019,1,9.4,27.8,18.4,0,0.00
11/03/2019,1,13.4,27,13.6,0,0.00
12/03/2019,0,15.8,18.7,2.9,0,0.00
13/03/2019,3,5.6,19.6,14,0.8,0.00
14/03/2019,0,10.6,24.2,13.6,0,0.00
15/03/2019,1,10.9,25.7,14.8,0,0.00
16/03/2019,1,12.3,26.8,14.5,0,0.00
17/03/2019,3,15.4,28.5,13.1,0,0.00
18/03/2019,2,15.1,24.2,9.1,0,0.00
19/03/2019,6,17.3,27.4,10.1,0,0.00
20/03/2019,0,18.6,27.9,9.3,0.6,0.00
21/03/2019,0,18.1,25.5,7.4,0,0.00
22/03/2019,2,18.3,26.3,8,0,0.00
23/03/2019,3,17.7,26.8,9.1,0,0.00
24/03/2019,2,14.9,28.4,13.5,0.4,0.00
25/03/2019,3,13.5,19.4,5.9,0,0.00
26/03/2019,1,11.5,19.3,7.8,1.2,0.00
27/03/2019,0,5.8,24,18.2,0,0.00
28/03/2019,1,6.3,28.3,22,0,0.00
29/03/2019,1,9.7,31.5,21.8,0.2,0.00
30/03/2019,2,10,14.1,4.1,1.8,0.00
31/03/2019,2,8.6,17.4,8.8,8.2,0.00
1/04/2019,3,12,19,7,1.2,0.00
2/04/2019,1,5.1,25,19.9,0,0.00
3/04/2019,2,7.5,25.8,18.3,0,0.00
4/04/2019,0,11.4,20.2,8.8,0,0.00
5/04/2019,2,11.9,27.1,15.2,0,0.00
6/04/2019,4,15.1,21.9,6.8,0,0.00
7/04/2019,2,6.1,26.6,20.5,0.4,0.00
8/04/2019,3,10.1,24.2,14.1,0,0.00
9/04/2019,0,10.7,16.1,5.4,4.8,0.00
10/04/2019,1,8.1,16.4,8.3,0,0.00
11/04/2019,3,9.8,19.2,9.4,0.2,0.00
12/04/2019,4,3.8,24.1,20.3,0,0.00
13/04/2019,2,5.6,20.4,14.8,0,0.00
14/04/2019,3,9.9,23.1,13.2,0,0.00
15/04/2019,6,12.6,23.7,11.1,0,0.00
16/04/2019,2,12.8,29.7,16.9,0,0.00
17/04/2019,0,12.2,31.1,18.9,0,0.00
18/04/2019,1,13.1,20.5,7.4,0.4,0.00
19/04/2019,5,9.4,22.6,13.2,0.2,0.00
20/04/2019,4,8.6,27.5,18.9,0,0.00
21/04/2019,4,7.7,30.8,23.1,0,0.00
22/04/2019,3,13.3,16.3,3,1.4,0.00
23/04/2019,3,14.1,18.2,4.1,0,0.00
24/04/2019,7,14.9,20.6,5.7,1,0.00
25/04/2019,2,10.9,20.8,9.9,0,0.00
26/04/2019,3,9.1,15,5.9,0.8,0.00
27/04/2019,3,7.3,15.8,8.5,2,0.00
28/04/2019,6,10.9,15.6,4.7,0,0.00
29/04/2019,4,10,18.7,8.7,0.4,0.00
30/04/2019,2,8,21.7,13.7,0,0.00
1/05/2019,1,10.9,23.1,12.2,0,0.00
2/05/2019,5,13.3,21.7,8.4,1.6,0.00
3/05/2019,1,11.2,20.9,9.7,14.4,0.00
4/05/2019,3,11,16.2,5.2,2.8,0.00
5/05/2019,2,10.1,18.1,8,3,0.00
6/05/2019,0,7.4,16.8,9.4,0.2,0.00
7/05/2019,1,3.9,18.7,14.8,0,0.00
8/05/2019,2,7.3,14.6,7.3,6.4,0.00
9/05/2019,1,4,17,13,1.8,0.00
10/05/2019,3,6.9,15.2,8.3,0,0.00
11/05/2019,4,8.9,13.5,4.6,2,0.00
12/05/2019,1,10.1,16.6,6.5,0.6,0.00
13/05/2019,2,5.2,18.6,13.4,0,0.00
14/05/2019,2,8,18.8,10.8,0,0.00
15/05/2019,4,10.2,16.6,6.4,0,0.00
16/05/2019,0,8.2,17,8.8,0,0.00
17/05/2019,1,1.4,18.5,17.1,0,0.00
18/05/2019,2,1.9,20.2,18.3,0,0.00
19/05/2019,2,2.5,18.2,15.7,0,0.00
20/05/2019,3,2.4,17.8,15.4,0.2,0.00
21/05/2019,2,4.9,19.4,14.5,2.2,0.00
22/05/2019,2,3,20.2,17.2,0,0.00
23/05/2019,2,2.6,22.5,19.9,0,0.00
24/05/2019,3,4.9,21.1,16.2,0.2,0.00
25/05/2019,1,10.9,20.6,9.7,0,0.00
26/05/2019,2,9.3,15.4,6.1,11.6,0.00
27/05/2019,5,7.6,11.9,4.3,9.6,0.00
28/05/2019,1,6.7,14.7,8,7.8,0.00
29/05/2019,2,6.8,10.6,3.8,2.8,0.00
30/05/2019,0,5.3,13,7.7,14.2,0.00
31/05/2019,3,7,14.2,7.2,2.4,0.00
1/06/2019,1,9.9,14.8,4.9,3.2,0.00
2/06/2019,1,8.6,14.2,5.6,0,0.00
3/06/2019,2,6.9,10.1,3.2,2.8,0.00
4/06/2019,2,3.1,12.4,9.3,17.2,0.00
5/06/2019,0,4.9,11.9,7,0.6,0.00
6/06/2019,0,9,14.4,5.4,1.6,0.00
7/06/2019,2,9.4,14.5,5.1,0.4,0.00
8/06/2019,4,2.8,14.9,12.1,0.2,0.00
9/06/2019,4,1.2,18,16.8,0.2,0.00
10/06/2019,2,5.4,18.1,12.7,3,0.00
11/06/2019,2,6.5,18.6,12.1,0.8,0.00
12/06/2019,3,4.5,16.7,12.2,0,0.00
13/06/2019,0,5.1,16.4,11.3,4.2,0.00
14/06/2019,1,7.5,16.6,9.1,0.6,0.00
15/06/2019,2,5.9,15.1,9.2,3.2,0.00
16/06/2019,1,2.9,15.8,12.9,0.2,0.00
17/06/2019,2,1.1,15.9,14.8,0,0.00
18/06/2019,2,2,12.3,10.3,0,0.00
19/06/2019,3,4.8,11.2,6.4,5.4,0.00
20/06/2019,0,3.7,11.2,7.5,1,0.00
21/06/2019,0,5.3,13.1,7.8,0.4,0.00
22/06/2019,0,-0.4,12.9,13.3,0.2,0.00
23/06/2019,2,-1.4,13,14.4,0.2,0.00
24/06/2019,1,-2.5,13.1,15.6,0,0.00
25/06/2019,0,-1,15.8,16.8,0.4,0.00
26/06/2019,1,-2.3,17.3,19.6,0,0.00
27/06/2019,6,-2.4,15.5,17.9,0.2,0.00
28/06/2019,1,-1.9,19.2,21.1,0.2,0.00
29/06/2019,2,2.9,20.5,17.6,0,0.00
30/06/2019,4,6.6,13.6,7,5.6,0.00
1/07/2019,1,2.5,15.6,13.1,0,0.00
2/07/2019,3,0.8,14.8,14,0,0.00
3/07/2019,3,8.8,14.6,5.8,0,0.00
4/07/2019,2,1,14.1,13.1,0,0.00
5/07/2019,2,4.6,14.2,9.6,0,0.00
6/07/2019,2,3.4,17.8,14.4,0.4,0.00
7/07/2019,2,1.1,14.3,13.2,0,0.00
8/07/2019,2,6.5,13.8,7.3,2.4,0.00
9/07/2019,2,6,13.9,7.9,0,0.00
10/07/2019,4,0.7,16.1,15.4,0,0.00
11/07/2019,2,4.6,14.2,9.6,4,0.00
12/07/2019,2,9.4,13.5,4.1,3,0.00
13/07/2019,4,5.7,9.1,3.4,11.2,0.00
14/07/2019,1,5.2,11.7,6.5,11.6,0.00
15/07/2019,2,7.5,12.7,5.2,17.4,0.00
16/07/2019,2,9.3,11.2,1.9,2.4,0.00
17/07/2019,4,8.7,13,4.3,1,0.00
18/07/2019,0,8,12.2,4.2,2.4,0.00
19/07/2019,1,6.8,13.7,6.9,1.2,0.00
20/07/2019,3,-0.6,15.9,16.5,0.2,0.00
21/07/2019,3,2,15.3,13.3,0,0.00
22/07/2019,0,-1.8,17,18.8,0,0.00
23/07/2019,1,2.7,15,12.3,0.6,0.00
24/07/2019,4,4.3,13.2,8.9,6.4,0.00
25/07/2019,1,5.7,15.2,9.5,0,0.00
26/07/2019,3,6,16,10,0,0.00
27/07/2019,2,8,14.1,6.1,0.8,0.00
28/07/2019,2,1.7,14.4,12.7,0,0.00
29/07/2019,0,3.9,14.7,10.8,0.2,0.00
30/07/2019,0,4.6,11.1,6.5,1,0.00
31/07/2019,2,-0.9,13.5,14.4,0,0.00
1/08/2019,0,3.5,12.2,8.7,0.2,0.00
2/08/2019,3,8.5,11.9,3.4,0.4,0.00
3/08/2019,1,8.8,12.9,4.1,0,0.00
4/08/2019,2,4.7,11.7,7,0.8,0.00
5/08/2019,1,5.3,14.2,8.9,0,0.00
6/08/2019,0,0.6,13.6,13,0.2,0.00
7/08/2019,0,3.3,13.9,10.6,0,0.00
8/08/2019,3,6.2,12.3,6.1,13.4,0.00
9/08/2019,3,6.8,8.2,1.4,3.8,0.00
10/08/2019,1,4.4,10.9,6.5,26.2,0.00
11/08/2019,4,4,12.5,8.5,31,0.00
12/08/2019,1,5.3,12.9,7.6,1,0.00
13/08/2019,0,7.5,12.6,5.1,0,0.00
14/08/2019,4,7.7,14.2,6.5,3,0.00
15/08/2019,3,-0.6,17.1,17.7,0.2,0.00
16/08/2019,0,5.3,17.2,11.9,0,0.00
17/08/2019,1,7.6,14.9,7.3,1.8,0.00
18/08/2019,2,4.2,22.4,18.2,0,0.00
19/08/2019,1,4.3,10.8,6.5,24.6,0.00
20/08/2019,1,4.5,12.9,8.4,3.8,0.00
21/08/2019,3,10.7,14.7,4,7.8,0.00
22/08/2019,3,7.2,12.2,5,8.2,0.00
23/08/2019,2,0.6,14.6,14,0.2,0.00
24/08/2019,2,-1,19.1,20.1,0.2,0.00
25/08/2019,4,6.4,12.2,5.8,5.8,0.00
26/08/2019,1,4.9,13.6,8.7,0.6,0.00
27/08/2019,2,2.1,14.4,12.3,0.4,0.00
28/08/2019,2,0.8,13.9,13.1,0,0.00
29/08/2019,2,-0.2,12.3,12.5,3.4,0.00
30/08/2019,3,-1,14.7,15.7,0.2,0.00
31/08/2019,11,-0.1,18.8,18.9,0,0.00
1/09/2019,3,2.4,17.2,14.8,0,0.00
2/09/2019,1,7.8,17.2,9.4,9.4,0.00
3/09/2019,2,5.8,20.6,14.8,0,0.00
4/09/2019,4,4.4,18.3,13.9,0,0.00
5/09/2019,4,8.4,17.7,9.3,1.4,0.00
6/09/2019,2,9.6,15.6,6,13,0.00
7/09/2019,2,7.8,11.8,4,16.2,0.00
8/09/2019,1,7,14.2,7.2,2.6,0.00
9/09/2019,1,5.6,12.7,7.1,22.6,0.00
10/09/2019,4,6.8,15.2,8.4,1,0.00
11/09/2019,3,3.3,20.4,17.1,0,0.00
12/09/2019,3,5.2,21.3,16.1,0,0.00
13/09/2019,3,7.5,15.3,7.8,0,0.00
14/09/2019,2,8.9,17.4,8.5,0,0.00
15/09/2019,1,7,22.9,15.9,0.2,0.00
16/09/2019,0,8.8,12.7,3.9,23.4,0.00
17/09/2019,4,-0.8,14.8,15.6,0,0.00
18/09/2019,3,0.7,18.3,17.6,0,0.00
19/09/2019,2,1.1,21.7,20.6,0,0.00
20/09/2019,1,6.4,26.6,20.2,0,0.00
21/09/2019,2,12.8,24.1,11.3,0,0.00
22/09/2019,4,7.4,15.4,8,3.2,0.00
23/09/2019,0,3,14.4,11.4,0.2,0.00
24/09/2019,2,6.6,14,7.4,1.6,0.00
25/09/2019,1,6.6,14.9,8.3,0.2,0.00
26/09/2019,3,2.5,18.5,16,0,0.00
27/09/2019,5,3.3,23.3,20,0,0.00
28/09/2019,4,6.4,14,7.6,3.2,0.00
29/09/2019,0,6.5,15.4,8.9,0.2,0.00
30/09/2019,1,6.2,14.7,8.5,0.8,0.00
1/10/2019,4,1.3,19.9,18.6,0,0.00
2/10/2019,2,2.8,25,22.2,0,0.00
3/10/2019,0,6.1,30.2,24.1,0,0.00
4/10/2019,3,11.2,14.3,3.1,0.4,0.00
5/10/2019,1,2.7,19.3,16.6,0.4,0.00
6/10/2019,4,10.8,24.1,13.3,0,0.00
7/10/2019,4,10.5,16.7,6.2,0,0.00
8/10/2019,3,6.7,15.1,8.4,0,0.00
9/10/2019,0,5.9,15.6,9.7,0.4,0.00
10/10/2019,0,4.7,14.6,9.9,0,0.00
11/10/2019,1,8.6,14.7,6.1,0,0.00
12/10/2019,6,9.3,16.8,7.5,0.4,0.00
13/10/2019,5,3.1,19.6,16.5,0,0.00
14/10/2019,2,6.1,24.1,18,0,0.00
15/10/2019,1,9.2,19.1,9.9,0.2,0.00
16/10/2019,0,9.2,19.4,10.2,0,0.00
17/10/2019,2,7.4,13.7,6.3,8.4,0.00
18/10/2019,2,6,19.7,13.7,5,0.00
19/10/2019,2,8.6,15.4,6.8,0.4,0.00
20/10/2019,2,7.7,15.1,7.4,0.4,0.00
21/10/2019,1,10.7,18,7.3,0.2,0.00
22/10/2019,1,8.6,23.3,14.7,0,0.00
23/10/2019,6,3.8,27.3,23.5,0,0.00
24/10/2019,4,4.4,32.1,27.7,0,0.00
25/10/2019,4,13.5,25,11.5,0,0.00
26/10/2019,4,7.5,14.6,7.1,0.8,0.00
27/10/2019,1,6.7,16.1,9.4,10.6,0.00
28/10/2019,3,7.4,21.5,14.1,0.8,0.00
29/10/2019,2,3.9,27.3,23.4,0.2,0.00
30/10/2019,3,6.8,29,22.2,0,0.00
31/10/2019,0,7,33.2,26.2,0,0.00
1/11/2019,1,8.6,33,24.4,0,0.00
2/11/2019,3,15.1,19.1,4,0,0.00
3/11/2019,7,12.8,21,8.2,12.2,0.00
4/11/2019,8,6.9,18,11.1,0.4,0.00
5/11/2019,3,5.9,17,11.1,7.2,0.00
6/11/2019,3,5.4,22.4,17,0.2,0.00
7/11/2019,2,8.6,16.6,8,2,0.00
8/11/2019,2,9.4,14.2,4.8,28.2,0.00
9/11/2019,6,5,12.2,7.2,8.8,0.00
10/11/2019,2,8.8,16.4,7.6,16.6,0.00
11/11/2019,0,9,26.1,17.1,0,0.00
12/11/2019,2,11.9,16.8,4.9,0,0.00
13/11/2019,2,6.8,16.2,9.4,4.2,0.00
14/11/2019,1,9.8,20.8,11,1.2,0.00
15/11/2019,1,11.3,18.7,7.4,0,0.00
16/11/2019,3,7.8,17.7,9.9,0.2,0.00
17/11/2019,2,9.3,17.6,8.3,0,0.00
18/11/2019,4,4.7,24.9,20.2,0,0.00
19/11/2019,1,7.7,20.5,12.8,0,0.00
20/11/2019,5,8.1,31.3,23.2,0,0.00
21/11/2019,1,10.3,38.2,27.9,0,0.00
22/11/2019,4,11.5,21.9,10.4,0,0.00
23/11/2019,9,4.8,23.3,18.5,0.2,0.00
24/11/2019,2,5.2,25,19.8,0,0.00
25/11/2019,4,4.9,30,25.1,0,0.00
26/11/2019,3,11.1,17.3,6.2,4.4,0.00
27/11/2019,3,7.2,23.7,16.5,0.4,0.00
28/11/2019,2,5.5,24.2,18.7,0,0.00
29/11/2019,5,9.4,24.2,14.8,0,0.00
30/11/2019,3,7.7,18.9,11.2,15.2,0.00
1/12/2019,3,8.3,17.8,9.5,1,0.00
2/12/2019,3,8.1,14.1,6,8.2,0.00
3/12/2019,1,8.2,19,10.8,6.2,0.00
4/12/2019,2,10.4,19.9,9.5,6.2,0.00
5/12/2019,3,11.2,21.7,10.5,0.4,0.00
6/12/2019,0,12,20,8,0,0.00
7/12/2019,3,11.2,20.5,9.3,0,0.00
8/12/2019,3,11.3,25.5,14.2,0,0.00
9/12/2019,2,9,35.7,26.7,0,0.00
10/12/2019,3,14.3,19.5,5.2,0,0.00
11/12/2019,1,8,22,14,0,0.00
12/12/2019,6,12.3,20,7.7,0,0.00
13/12/2019,3,9.2,20.4,11.2,0,0.00
14/12/2019,0,12.7,17.3,4.6,3.8,0.00
15/12/2019,2,12.5,22.1,9.6,0.2,0.00
16/12/2019,5,12.1,24.6,12.5,0.4,0.00
17/12/2019,2,8,31.1,23.1,0.2,0.00
18/12/2019,1,11.3,38.6,27.3,0,0.23
19/12/2019,3,16.3,27.6,11.3,0,0.00
20/12/2019,0,9.9,37.5,27.6,0,0.00
21/12/2019,1,16.7,23.2,6.5,0,0.00
22/12/2019,3,10.3,25.8,15.5,0,0.00
23/12/2019,3,7.8,27.3,19.5,0,0.00
24/12/2019,3,13.7,21.3,7.6,0,0.00
25/12/2019,0,15.1,31.3,16.2,0,0.00
26/12/2019,3,13.6,25.5,11.9,0,0.00
27/12/2019,2,8.1,29.2,21.1,0,0.00
28/12/2019,0,14.7,37.9,23.2,0,29.23
29/12/2019,2,13.8,37.2,23.4,0,5.72
30/12/2019,1,15.2,41.9,26.7,0,0.00
31/12/2019,3,14.7,23.7,9,0,0.00
1/01/2020,3,5.4,26.6,21.2,0,0.00
2/01/2020,2,7,28.5,21.5,0,0.00
3/01/2020,1,9.5,28.4,18.9,0,0.00
4/01/2020,1,12.5,30.8,18.3,0,0.00
5/01/2020,5,11.1,15.3,4.2,0,0.00
6/01/2020,4,11.2,16.9,5.7,17.8,0.00
7/01/2020,4,12,23.2,11.2,2.8,0.00
8/01/2020,2,16,25.3,9.3,0,0.00
9/01/2020,2,17.4,27.7,10.3,1,0.00
10/01/2020,2,14.3,36.9,22.6,0.2,0.00
11/01/2020,2,12.3,20.2,7.9,9.8,0.00
12/01/2020,5,10.7,24,13.3,0,0.00
13/01/2020,2,10.8,28.9,18.1,0,0.00
14/01/2020,4,12.8,33.5,20.7,0,0.00
15/01/2020,4,16.2,32.8,16.6,0,0.00
16/01/2020,0,16.3,20.7,4.4,7.8,0.00
17/01/2020,0,11.8,17.5,5.7,0.6,0.00
18/01/2020,2,13.1,20.6,7.5,0.6,0.00
19/01/2020,3,17,24.9,7.9,1.2,0.00
20/01/2020,1,18,20.6,2.6,6.8,0.00
21/01/2020,2,14.5,23.8,9.3,3.8,0.00
22/01/2020,3,13.4,31,17.6,0.2,0.00
23/01/2020,1,12.8,23.9,11.1,25.4,0.00
24/01/2020,3,9.1,23.1,14,1.6,0.00
25/01/2020,1,9.3,27,17.7,0,0.00
26/01/2020,5,11.7,27,15.3,0,0.00
27/01/2020,3,14.1,24.1,10,0,0.00
28/01/2020,0,10.2,26.3,16.1,0,0.00
29/01/2020,2,11.9,30.3,18.4,0,5.49
30/01/2020,0,9.8,37.5,27.7,0,27.64
31/01/2020,0,14.8,42.7,27.9,0,9.06
1/02/2020,3,23.2,34.1,10.9,0,0.00
2/02/2020,5,12.7,23.3,10.6,20.2,0.00
3/02/2020,3,12.1,18.3,6.2,3.2,0.00
4/02/2020,2,5.1,22.1,17,0.4,0.00
5/02/2020,1,8,23.8,15.8,0,0.00
6/02/2020,3,12.6,27.3,14.7,0,0.00
7/02/2020,2,14,29.8,15.8,0,0.00
8/02/2020,5,18.4,26,7.6,0,0.00
9/02/2020,2,17.9,22.9,5,0.2,0.00
10/02/2020,3,17.7,21.9,4.2,1,0.00
11/02/2020,3,18.7,25.8,7.1,8,0.00
12/02/2020,3,17.6,23.6,6,0.2,0.00
13/02/2020,2,18.3,23.9,5.6,2.2,0.00
14/02/2020,2,18.6,30.8,12.2,0.8,0.00
15/02/2020,4,18.9,20.8,1.9,26.8,0.00
16/02/2020,2,15.3,18.7,3.4,5.4,0.00
17/02/2020,4,16.2,21.6,5.4,0,0.00
18/02/2020,1,17.2,24.2,7,0,0.00
19/02/2020,2,14.3,18.1,3.8,26,0.00
20/02/2020,4,12.3,19,6.7,0.2,0.00
21/02/2020,3,11.2,20.8,9.6,0,0.00
22/02/2020,5,9.6,23.4,13.8,2.2,0.00
23/02/2020,3,10.5,31,20.5,0,0.00
24/02/2020,0,14.9,28.6,13.7,1,0.00
25/02/2020,2,17.9,31,13.1,0,0.00
26/02/2020,1,16,18.7,2.7,1.2,0.00
27/02/2020,2,7.1,19.9,12.8,1,0.00
28/02/2020,2,12.4,20,7.6,1.8,0.00
29/02/2020,1,7.2,23.5,16.3,1,0.00
1/03/2020,5,11.6,30.6,19,0,0.00
2/03/2020,5,12.8,19.3,6.5,1.2,0.00
3/03/2020,1,9.4,20.6,11.2,0,0.00
4/03/2020,3,11.6,21.4,9.8,0,0.00
5/03/2020,5,15.4,19.9,4.5,14,0.00
6/03/2020,5,14.7,20.5,5.8,5,0.00
7/03/2020,4,12,20.2,8.2,0.6,0.00
8/03/2020,6,13.5,17.7,4.2,1.4,0.00
9/03/2020,3,11.2,19.9,8.7,0,0.00
10/03/2020,1,12.2,22,9.8,0,0.00
11/03/2020,2,10.1,26.6,16.5,0,0.00
12/03/2020,2,10.1,29.8,19.7,0,0.00
13/03/2020,1,8.6,27.7,19.1,0,0.00
14/03/2020,2,7.1,18.2,11.1,0.4,0.00
15/03/2020,5,2.8,19.3,16.5,0,0.00
16/03/2020,2,6.5,22.5,16,0,0.00
17/03/2020,4,7.2,27.9,20.7,0,0.00
18/03/2020,0,9.4,27.5,18.1,0,0.00
19/03/2020,5,14.4,30,15.6,0,0.00
20/03/2020,1,13.9,22.7,8.8,1.4,0.00
21/03/2020,2,12.9,17.3,4.4,0,0.00
22/03/2020,2,8.4,20.1,11.7,0,0.00
23/03/2020,2,6,18.2,12.2,0,0.00
24/03/2020,2,5.6,20.2,14.6,0,0.00
25/03/2020,3,9.5,18,8.5,0,0.00
26/03/2020,1,7,22.4,15.4,0,0.00
27/03/2020,0,9.9,27.3,17.4,0,0.00
28/03/2020,3,8,29.1,21.1,0,0.00
29/03/2020,4,7.4,28.5,21.1,0,0.00
30/03/2020,1,11.9,21.3,9.4,3.4,0.00
31/03/2020,0,9.1,22.7,13.6,0,0.00
1/04/2020,1,5.8,24.8,19,0,0.00
2/04/2020,2,10.9,22.2,11.3,9.6,0.00
3/04/2020,1,12.1,24,11.9,4.4,0.00
4/04/2020,2,12.1,15.7,3.6,10,0.00
5/04/2020,3,7.6,18.5,10.9,9.4,0.00
6/04/2020,0,9.2,16.4,7.2,6.8,0.00
7/04/2020,4,10.5,16.1,5.6,0,0.00
8/04/2020,1,9.1,19.1,10,0,0.00
9/04/2020,3,11.6,21.1,9.5,1.4,0.00
10/04/2020,1,9.2,22.3,13.1,0,0.00
11/04/2020,0,10.3,14,3.7,6.4,0.00
12/04/2020,0,8.4,15.8,7.4,5.6,0.00
13/04/2020,1,9.7,16.8,7.1,0.2,0.00
14/04/2020,0,8.2,21.7,13.5,1.6,0.00
15/04/2020,1,9.2,25.7,16.5,0.2,0.00
16/04/2020,0,13,21.9,8.9,0,0.00
17/04/2020,0,10.3,17.4,7.1,0,0.00
18/04/2020,1,10.8,16,5.2,0.2,0.00
19/04/2020,5,7.8,17.7,9.9,0.2,0.00
20/04/2020,0,10.7,20.9,10.2,1.6,0.00
21/04/2020,0,5.7,19.4,13.7,0.2,0.00
22/04/2020,2,6.9,18.7,11.8,0,0.00
23/04/2020,1,4.4,20.9,16.5,0,0.00
24/04/2020,1,9.7,20.3,10.6,0,0.00
25/04/2020,1,5.8,21,15.2,0,0.00
26/04/2020,1,9.8,16.8,7,15.8,0.00
